museum_id,object_id,image_url,http_ok,status_code,content_type,local_file_ok,valid
2,49026,"https://nrs.harvard.edu/urn-3:HUAM:INV003829_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49038,"https://nrs.harvard.edu/urn-3:HUAM:INV004288_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49048,"https://nrs.harvard.edu/urn-3:HUAM:INV004291_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49049,"https://nrs.harvard.edu/urn-3:HUAM:INV004299_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49050,"https://nrs.harvard.edu/urn-3:HUAM:INV004301_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49051,"https://nrs.harvard.edu/urn-3:HUAM:INV004335_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49052,"https://nrs.harvard.edu/urn-3:HUAM:INV004339_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49053,"https://nrs.harvard.edu/urn-3:HUAM:INV004341_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49054,"https://nrs.harvard.edu/urn-3:HUAM:INV004342_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49055,"https://nrs.harvard.edu/urn-3:HUAM:INV004348_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49056,"https://nrs.harvard.edu/urn-3:HUAM:771103/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49057,"https://nrs.harvard.edu/urn-3:HUAM:771106/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49101,"https://nrs.harvard.edu/urn-3:HUAM:771112/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49113,"https://nrs.harvard.edu/urn-3:HUAM:771096/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49114,"https://nrs.harvard.edu/urn-3:HUAM:771098/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49115,"https://nrs.harvard.edu/urn-3:HUAM:771099/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49116,"https://nrs.harvard.edu/urn-3:HUAM:771104/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49117,"https://nrs.harvard.edu/urn-3:HUAM:INV004302_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49118,"https://nrs.harvard.edu/urn-3:HUAM:INV004328_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49119,"https://nrs.harvard.edu/urn-3:HUAM:INV004330_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49120,"https://nrs.harvard.edu/urn-3:HUAM:INV004350_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49121,"https://nrs.harvard.edu/urn-3:HUAM:INV004359_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49122,"https://nrs.harvard.edu/urn-3:HUAM:INV004363_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49123,"https://nrs.harvard.edu/urn-3:HUAM:771108/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49124,"https://nrs.harvard.edu/urn-3:HUAM:771109/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49125,"https://nrs.harvard.edu/urn-3:HUAM:771111/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49126,"https://nrs.harvard.edu/urn-3:HUAM:771095/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49149,"https://nrs.harvard.edu/urn-3:HUAM:INV004297_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
2,49150,"https://nrs.harvard.edu/urn-3:HUAM:INV004323_dynmc/full/!800,800/0/default.jpg",0,202,text/html; charset=utf-8,1,1
