museum_id,object_id,image_url,http_ok,status_code,content_type,local_file_ok,valid
1,ld1-1643390182193-1643390193582-0,https://ids.si.edu/ids/download?id=FS-7927_02.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390185381-0,https://ids.si.edu/ids/download?id=FS-5836_03.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189931-0,https://ids.si.edu/ids/download?id=FS-F1917.74_001.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390190207-0,https://ids.si.edu/ids/download?id=FS-F1917.350_001.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189275-0,https://ids.si.edu/ids/download?id=FS-5772_04.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390188559-0,https://ids.si.edu/ids/download?id=FS-7700_04.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390186654-0,https://ids.si.edu/ids/download?id=FS-7606_09.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390191066-0,https://ids.si.edu/ids/download?id=FS-7624_37.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189246-1,https://ids.si.edu/ids/download?id=FS-7728_04.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390203302-0,https://ids.si.edu/ids/download?id=FS-S1987.559_001.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189280-0,https://ids.si.edu/ids/download?id=FS-5772_09.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189632-0,https://ids.si.edu/ids/download?id=FS-F1916.510_001.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390187793-0,https://ids.si.edu/ids/download?id=FS-5994_02.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189349-0,https://ids.si.edu/ids/download?id=FS-F1916.150_001.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189033-0,https://ids.si.edu/ids/download?id=FS-7727_21.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390186667-0,https://ids.si.edu/ids/download?id=FS-5992_12.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390191130-0,https://ids.si.edu/ids/download?id=FS-5847_05.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390190277-0,https://ids.si.edu/ids/download?id=FS-7624_35.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189253-0,https://ids.si.edu/ids/download?id=FS-7728_06.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390190033-0,https://ids.si.edu/ids/download?id=FS-5706_07.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390184347-0,https://ids.si.edu/ids/download?id=FS-5615_08.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189041-0,https://ids.si.edu/ids/download?id=FS-7727_22.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390186677-1,https://ids.si.edu/ids/download?id=FS-7734_07.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390187951-0,https://ids.si.edu/ids/download?id=FS-6052_07.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390188054-0,https://ids.si.edu/ids/download?id=FS-5716_09.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390186617-0,https://ids.si.edu/ids/download?id=FS-5374_03.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390188990-0,https://ids.si.edu/ids/download?id=FS-5755_07.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390187748-0,https://ids.si.edu/ids/download?id=FS-7726_02.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390190004-1,https://ids.si.edu/ids/download?id=FS-7680_30.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390186542-0,https://ids.si.edu/ids/download?id=FS-7308_01.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390186581-0,https://ids.si.edu/ids/download?id=FS-5922_05.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189486-1,https://ids.si.edu/ids/download?id=FS-7690_25.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189445-1,https://ids.si.edu/ids/download?id=FS-6923_01.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390188567-0,https://ids.si.edu/ids/download?id=FS-7700_09.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390186553-0,https://ids.si.edu/ids/download?id=FS-7460_35.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390195116-0,https://ids.si.edu/ids/download?id=FS-8514_05.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189956-0,https://ids.si.edu/ids/download?id=FS-5718_01.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390190071-1,https://ids.si.edu/ids/download?id=FS-7624_32.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189546-0,https://ids.si.edu/ids/download?id=FS-5787_04.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390188862-0,https://ids.si.edu/ids/download?id=FS-7727_14.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390186660-0,https://ids.si.edu/ids/download?id=FS-7630_02.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390191083-0,https://ids.si.edu/ids/download?id=FS-F1919.48_001-000001.jpg,0,0,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",1,1
1,ld1-1643390182193-1643390186761-0,https://ids.si.edu/ids/download?id=FS-6111_04.jpg,0,0,"('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))",1,1
1,ld1-1643390182193-1643390188693-0,https://ids.si.edu/ids/download?id=FS-7756_10.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189320-0,https://ids.si.edu/ids/download?id=FS-7069_03.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189914-0,https://ids.si.edu/ids/download?id=FS-F1917.51_001.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189717-0,https://ids.si.edu/ids/download?id=FS-5676_09.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189625-0,https://ids.si.edu/ids/download?id=FS-F1916.501_001.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390189252-0,https://ids.si.edu/ids/download?id=FS-7705_30.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390187810-1,https://ids.si.edu/ids/download?id=FS-7423_22.jpg,1,200,unknown,1,1
1,ld1-1643390182193-1643390190282-0,https://ids.si.edu/ids/download?id=FS-F1917.392_001.jpg,1,200,unknown,1,1
