museum_id,object_id,image_url,http_ok,status_code,content_type,local_file_ok,valid
3,95.538,https://collections.mfa.org/internal/media/dispatcher/1155188/preview,0,405,text/html; charset=utf-8,1,1
3,95.542,https://collections.mfa.org/internal/media/dispatcher/731301/preview,0,405,text/html; charset=utf-8,1,1
3,95.548,https://collections.mfa.org/internal/media/dispatcher/1154227/preview,0,405,text/html; charset=utf-8,1,1
3,95.553,https://collections.mfa.org/internal/media/dispatcher/1155011/preview,0,405,text/html; charset=utf-8,1,1
3,95.559,https://collections.mfa.org/internal/media/dispatcher/1155044/preview,0,405,text/html; charset=utf-8,1,1
3,95.563a-b,https://collections.mfa.org/internal/media/dispatcher/1155012/preview,0,405,text/html; charset=utf-8,1,1
3,95.575,https://collections.mfa.org/internal/media/dispatcher/731330/preview,0,405,text/html; charset=utf-8,1,1
3,95.577a,https://collections.mfa.org/internal/media/dispatcher/1154228/preview,0,405,text/html; charset=utf-8,1,1
3,17.191,https://collections.mfa.org/internal/media/dispatcher/1453191/preview,0,405,text/html; charset=utf-8,1,1
3,1979.203,https://collections.mfa.org/internal/media/dispatcher/1486411/preview,0,405,text/html; charset=utf-8,1,1
3,92.2635,https://collections.mfa.org/internal/media/dispatcher/1174722/preview,0,405,text/html; charset=utf-8,1,1
3,92.2725,https://collections.mfa.org/internal/media/dispatcher/781264/preview,0,405,text/html; charset=utf-8,1,1
3,93.1043,https://collections.mfa.org/internal/media/dispatcher/1036883/preview,0,405,text/html; charset=utf-8,1,1
3,95.438,https://collections.mfa.org/internal/media/dispatcher/1155185/preview,0,405,text/html; charset=utf-8,1,1
3,95.547,https://collections.mfa.org/internal/media/dispatcher/1155189/preview,0,405,text/html; charset=utf-8,1,1
3,95.622,https://collections.mfa.org/internal/media/dispatcher/736787/preview,0,405,text/html; charset=utf-8,1,1
3,95.636,https://collections.mfa.org/internal/media/dispatcher/1150891/preview,0,405,text/html; charset=utf-8,1,1
3,95.697,https://collections.mfa.org/internal/media/dispatcher/1138731/preview,0,405,text/html; charset=utf-8,1,1
3,95.723,https://collections.mfa.org/internal/media/dispatcher/736788/preview,0,405,text/html; charset=utf-8,1,1
3,95.725,https://collections.mfa.org/internal/media/dispatcher/1150892/preview,0,405,text/html; charset=utf-8,1,1
3,95.742,https://collections.mfa.org/internal/media/dispatcher/1084291/preview,0,405,text/html; charset=utf-8,1,1
3,95.817,https://collections.mfa.org/internal/media/dispatcher/1084309/preview,0,405,text/html; charset=utf-8,1,1
3,95.858,https://collections.mfa.org/internal/media/dispatcher/905230/preview,0,405,text/html; charset=utf-8,1,1
3,95.1104,https://collections.mfa.org/internal/media/dispatcher/1004533/preview,0,405,text/html; charset=utf-8,1,1
3,95.1320,https://collections.mfa.org/internal/media/dispatcher/843915/preview,0,405,text/html; charset=utf-8,1,1
3,95.1321,https://collections.mfa.org/internal/media/dispatcher/843916/preview,0,405,text/html; charset=utf-8,1,1
3,95.1328,https://collections.mfa.org/internal/media/dispatcher/817890/preview,0,405,text/html; charset=utf-8,1,1
3,96.651,https://collections.mfa.org/internal/media/dispatcher/1022697/preview,0,405,text/html; charset=utf-8,1,1
3,96.652,https://collections.mfa.org/internal/media/dispatcher/1022709/preview,0,405,text/html; charset=utf-8,1,1
3,96.653,https://collections.mfa.org/internal/media/dispatcher/1022710/preview,0,405,text/html; charset=utf-8,1,1
3,96.654a-b,https://collections.mfa.org/internal/media/dispatcher/1250016/preview,0,405,text/html; charset=utf-8,1,1
3,97.66,https://collections.mfa.org/internal/media/dispatcher/731453/preview,0,405,text/html; charset=utf-8,1,1
3,98.12,https://collections.mfa.org/internal/media/dispatcher/883508/preview,0,405,text/html; charset=utf-8,1,1
3,98.208,https://collections.mfa.org/internal/media/dispatcher/1036888/preview,0,405,text/html; charset=utf-8,1,1
3,98.209,https://collections.mfa.org/internal/media/dispatcher/1036889/preview,0,405,text/html; charset=utf-8,1,1
3,98.948,https://collections.mfa.org/internal/media/dispatcher/1112461/preview,0,405,text/html; charset=utf-8,1,1
3,98.955a-c,https://collections.mfa.org/internal/media/dispatcher/1249379/preview,0,405,text/html; charset=utf-8,1,1
3,99.318,https://collections.mfa.org/internal/media/dispatcher/767181/preview,0,405,text/html; charset=utf-8,1,1
3,00.486,https://collections.mfa.org/internal/media/dispatcher/1039651/preview,0,405,text/html; charset=utf-8,1,1
3,00.488,https://collections.mfa.org/internal/media/dispatcher/905185/preview,0,405,text/html; charset=utf-8,1,1
3,00.581,https://collections.mfa.org/internal/media/dispatcher/1024390/preview,0,405,text/html; charset=utf-8,1,1
3,00.613,https://collections.mfa.org/internal/media/dispatcher/1016121/preview,0,405,text/html; charset=utf-8,1,1
3,01.5661,https://collections.mfa.org/internal/media/dispatcher/1004526/preview,0,405,text/html; charset=utf-8,1,1
3,01.5662,https://collections.mfa.org/internal/media/dispatcher/577463/preview,0,405,text/html; charset=utf-8,1,1
3,01.5719,https://collections.mfa.org/internal/media/dispatcher/1155004/preview,0,405,text/html; charset=utf-8,1,1
3,01.5721,https://collections.mfa.org/internal/media/dispatcher/1155005/preview,0,405,text/html; charset=utf-8,1,1
3,01.5722,https://collections.mfa.org/internal/media/dispatcher/577471/preview,0,405,text/html; charset=utf-8,1,1
3,01.5726,https://collections.mfa.org/internal/media/dispatcher/577474/preview,0,405,text/html; charset=utf-8,1,1
3,01.5731,https://collections.mfa.org/internal/media/dispatcher/577476/preview,0,405,text/html; charset=utf-8,1,1
3,01.5732,https://collections.mfa.org/internal/media/dispatcher/577478/preview,0,405,text/html; charset=utf-8,1,1
3,01.5745,https://collections.mfa.org/internal/media/dispatcher/740996/preview,0,405,text/html; charset=utf-8,1,1
3,01.5748,https://collections.mfa.org/internal/media/dispatcher/577487/preview,0,405,text/html; charset=utf-8,1,1
3,01.5771,https://collections.mfa.org/internal/media/dispatcher/577489/preview,0,405,text/html; charset=utf-8,1,1
3,01.5772,https://collections.mfa.org/internal/media/dispatcher/577489/preview,0,405,text/html; charset=utf-8,1,1
3,01.5804,https://collections.mfa.org/internal/media/dispatcher/1136444/preview,0,405,text/html; charset=utf-8,1,1
3,01.5812,https://collections.mfa.org/internal/media/dispatcher/1239169/preview,0,405,text/html; charset=utf-8,1,1
3,01.6720a-d,https://collections.mfa.org/internal/media/dispatcher/1248241/preview,0,405,text/html; charset=utf-8,1,1
3,02.48,https://collections.mfa.org/internal/media/dispatcher/1022801/preview,0,405,text/html; charset=utf-8,1,1
3,02.54,https://collections.mfa.org/internal/media/dispatcher/1022811/preview,0,405,text/html; charset=utf-8,1,1
3,02.58,https://collections.mfa.org/internal/media/dispatcher/1022797/preview,0,405,text/html; charset=utf-8,1,1
3,02.59,https://collections.mfa.org/internal/media/dispatcher/1022690/preview,0,405,text/html; charset=utf-8,1,1
3,02.60,https://collections.mfa.org/internal/media/dispatcher/1022691/preview,0,405,text/html; charset=utf-8,1,1
3,02.62,https://collections.mfa.org/internal/media/dispatcher/1022701/preview,0,405,text/html; charset=utf-8,1,1
3,02.64,https://collections.mfa.org/internal/media/dispatcher/1029184/preview,0,405,text/html; charset=utf-8,1,1
3,02.66,https://collections.mfa.org/internal/media/dispatcher/1022693/preview,0,405,text/html; charset=utf-8,1,1
3,02.67,https://collections.mfa.org/internal/media/dispatcher/1022804/preview,0,405,text/html; charset=utf-8,1,1
3,02.68,https://collections.mfa.org/internal/media/dispatcher/1009172/preview,0,405,text/html; charset=utf-8,1,1
3,02.344,https://collections.mfa.org/internal/media/dispatcher/577684/preview,0,405,text/html; charset=utf-8,1,1
3,02.345,https://collections.mfa.org/internal/media/dispatcher/1029251/preview,0,405,text/html; charset=utf-8,1,1
3,02.394,https://collections.mfa.org/internal/media/dispatcher/1022813/preview,0,405,text/html; charset=utf-8,1,1
3,02.399,https://collections.mfa.org/internal/media/dispatcher/1022703/preview,0,405,text/html; charset=utf-8,1,1
3,02.401,https://collections.mfa.org/internal/media/dispatcher/1009173/preview,0,405,text/html; charset=utf-8,1,1
3,02.402,https://collections.mfa.org/internal/media/dispatcher/1009174/preview,0,405,text/html; charset=utf-8,1,1
3,02.485,https://collections.mfa.org/internal/media/dispatcher/1009188/preview,0,405,text/html; charset=utf-8,1,1
3,03.94,https://collections.mfa.org/internal/media/dispatcher/577717/preview,0,405,text/html; charset=utf-8,1,1
3,03.99,https://collections.mfa.org/internal/media/dispatcher/577721/preview,0,405,text/html; charset=utf-8,1,1
3,03.100,https://collections.mfa.org/internal/media/dispatcher/1155182/preview,0,405,text/html; charset=utf-8,1,1
