from,relation,to
entity:artifact:1:ld1-1643381040022-1643381058946-1,description,1800s; 1850s Decorative arts wood/lacquered length: 7 7/8 in. (20.0 cm) Men; Figure group
entity:artifact:1:ld1-1643381040022-1643381059066-0,description,"1770s; 1790s Decorative arts carved ivory, blue silk ribbon, and mother of pearl 10 1/2 x 18 in. (26.7 x 45.7 cm) Fans; Clothing and dress; Dress accessories"
entity:artifact:1:ld1-1643381040022-1643381059156-0,description,"Decorative arts glass Vershinin, Aleksandr Trees; Landscapes; Boats and boating; Architecture; Domestic; Figure group; Containers; Rivers; Rowboat; Dwellings"
entity:artifact:1:ld1-1643381040022-1643381060180-0,description,"1900s Graphic arts color woodcut on paper sheet: 12 1/2 x 17 7/8 in. (31.8 x 45.3 cm) Hyde, Helen Water; Commercial; Signs and signboards; Architecture; Figure group; Soochow; Store; Cityscapes"
entity:artifact:1:ld1-1643381040022-1643381060244-1,description,"1810s; 1880s Drawings pencil and watercolor on paper sheet: 6 1/2 x 4 1/2 in. (16.5 x 11.5 cm) Kellogg, Miner Kilbourne Figure male"
entity:artifact:1:ld1-1643381040022-1643381060334-0,description,"1890s Graphic arts color etching on paper plate: 11 1/8 x 4 7/8 in. (28.4 x 12.3 cm) Hyde, Helen Female and child; Figure group; Cityscapes; Streets"
entity:artifact:1:ld1-1643381040022-1643381062968-0,description,"1870s Graphic arts wood engraving on paper image: 13 7/8 x 9 in. (35.2 x 22.9 cm) sheet: 16 x 10 3/4 in. (40.6 x 27.3 cm) Homer, Winslow Amusements; Sport and play; Literature; Recreation; Games; Figure group; State of being; Cityscapes; Drug use; Harper's Weekly; Smoking"
entity:artifact:1:ld1-1643381040022-1643381064179-0,description,"Stella believed that every day should ""begin and end [with] the painting of a flower."" The exotic plants he sketched in the Bronx Botanical Garden resurface in this imaginary scene of the Bay of Naples, drawn with the precision and love of nature that Stella absorbed from Italy's Renaissance painters. The tips of the palmetto leaf radiate across the picture plane like a visible, unfolding wave of sound. Stella had moments of homesickness, when images of his homeland came to him as clearly as when he first arrived in America in 1896. Here, it is as if the Neapolitan song is reaching across the sea, bridging the distance between Stella's old home and his adopted country.Exhibition Label, Smithsonian American Art Museum, 2006"
entity:artifact:1:ld1-1643381040022-1643381066704-1,description,Decorative arts ivory 3 in. (7.6 cm) Fans; Figure female; Chairs; Clothing and dress; Dress accessories; Furnishings
entity:artifact:1:ld1-1643381040022-1643381066706-1,description,Decorative arts ivory 3 3/4 in. (9.5 cm) Fans; Clothing and dress; Containers; Figure male; Dress accessories
entity:artifact:1:ld1-1643381040022-1643381066708-0,description,Decorative arts ivory 3 1/4 in. (8.3 cm) Fans; Chairs; Clothing and dress; Dress accessories; Figure male; Hats; Furnishings
entity:artifact:1:ld1-1643381040022-1643381066734-0,description,Decorative arts 2 1/2 x 1 1/4 in. (6.4 x 3.2 cm) Chinese
entity:artifact:1:ld1-1643381040022-1643381066735-0,description,Decorative arts silver and enamel 4 x 3 x 4 in. (10.2 x 7.6 x 10.2 cm) Architecture; Baskets; Domestic; Flowers; Dwellings
entity:artifact:1:ld1-1643390182193-1643390182369-0,description,"Depicts herons among various water plants, including lily pads and lotus plants, on the shore of a body of water. No seals, inscriptions or labels. Stained ivory roller knobs. Decorative yet realistic paintings of bird-and-flower subjects enjoyed enormous popularity at the Ming court and among privileged members of society. This style suited the contemporary taste and resembled a school of imperially sponsored painting that had been popular during the Song dynasty (960-1279), a period of great cultural blossoming. The Ming emperors intentionally recalled the Song to bolster their position as sophisticated Chinese rulers aware of and equal to the past heritage. The style of this work compresses space so that the picture reads as a harmonious decorative pattern, yet it also offers a view of natural pond life. This style that combines ornament and naturalism is associated with the court artist LÃ¼ Ji (ca.1420-ca.1505) and his circle. The theme of egrets relies on visual punning, or a rebus, and takes into account that the Chinese word for egret sounds like another word that means wealth through official position. To 1893 Tozo Takayanagi, New York to 1893 [1] From 1893 to 1919 Charles Lang Freer (1854-1919), purchased from Tozo Takayanagi in June 1893 [2] From 1920 Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See List of Kakemono Reserved, No. 21, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Luxury and Luminosity: Visual Culture and the Ming Court (July 3, 2004 to June 26, 2005) Chinese Bird and Flower Painting (December 17, 1993 to May 31, 1994) Masterpieces of Chinese Painting (II) (May 9, 1993 to May 31, 1994) Takayanagi Tozo é«æ³é¶é  (C.L. Freer source) Charles Lang Freer (1854-1919)"
entity:artifact:1:ld1-1643390182193-1643390182438-0,description,"Surface: brown and green patina; decoration in relief. To 1894 Rufus E. Moore, New York to 1894 [1] From 1894 to 1919 Charles Lang Freer (1854-1919), purchased from Rufus E. Moore in 1894 [2] From 1920 Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Original Bronze List, S.I. 1B, pg. 6, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Rufus E. Moore (1840-1918) (C.L. Freer source) Charles Lang Freer (1854-1919)"
entity:artifact:1:ld1-1643390182193-1643390182789-0,description,"Flower vase, tall, square, with round neck and thick lip. Clay: fine, fired dark reddish brown. Glaze: copper green mottled with black above; yellowish buff below. Decoration: two rows of deep notches down each side. To 1897 Yamanaka & Company, New York to 1897 [1] From 1897 to 1919 Charles Lang Freer (1854-1919), purchased from Yamanaka & Company in 1897 [2] From 1920 Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Original Pottery List, L. 111, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection The Peacock Room Comes to America [2022] (September 3, 2022 - September 14, 2025) The Peacock Room Comes to America [2017-2019] (October 14, 2017 to January 2, 2019) The Peacock Room Comes to America [2011-2016] (April 9, 2011 to January 4, 2016) Yamanaka and Co. å±±ä¸­åä¼ (1917-1965) (C.L. Freer source) Charles Lang Freer (1854-1919)"
entity:artifact:1:ld1-1643390182193-1643390182964-0,description,"Clay: medium, gray stoneware Glaze: clear, glossy, over a layer of crackled, chipped creamy gray slip or slip-like glaze. Decoration: none. The bowl takes its name from the shape of a âChinese flute,â an imported horn that street vendors used to advertise their sweets or snacks for sale. To 1898 Yamanaka & Company, New York to 1898 [1] From 1898 to 1919 Charles Lang Freer (1854-1919), purchased from Yamanaka & Company in 1898 [2] From 1920 Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Original Pottery List, L. 543, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Freer and Tea II: Raku, Hagi, Karatsu (July 8, 2006 to January 1, 2007) Yamanaka and Co. å±±ä¸­åä¼ (1917-1965) (C.L. Freer source) Charles Lang Freer (1854-1919)"
