from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,periodStartYear,1890
entity:artifact:1:ld1-1643381040022-1643381041076-1,periodStartYear,1920
entity:artifact:1:ld1-1643381040022-1643381042241-1,periodStartYear,1920
entity:artifact:1:ld1-1643381040022-1643381046516-1,periodStartYear,1940
entity:artifact:1:ld1-1643381040022-1643381046517-0,periodStartYear,1940
entity:artifact:1:ld1-1643381040022-1643381049785-0,periodStartYear,1910
entity:artifact:1:ld1-1643381040022-1643381051352-0,periodStartYear,1830
entity:artifact:1:ld1-1643381040022-1643381053046-1,periodStartYear,1940
entity:artifact:1:ld1-1643381040022-1643381054060-0,periodStartYear,1900
entity:artifact:1:ld1-1643381040022-1643381054509-0,periodStartYear,1890
entity:artifact:1:ld1-1643381040022-1643381055993-0,periodStartYear,1880
entity:artifact:1:ld1-1643381040022-1643381057843-0,periodStartYear,1900
entity:artifact:1:ld1-1643381040022-1643381057909-1,periodStartYear,1880
entity:artifact:1:ld1-1643381040022-1643381058893-0,periodStartYear,1770
entity:artifact:1:ld1-1643381040022-1643381058911-1,periodStartYear,1900
entity:artifact:1:ld1-1643381040022-1643381058913-0,periodStartYear,1900
entity:artifact:1:ld1-1643381040022-1643381058914-1,periodStartYear,1850
entity:artifact:1:ld1-1643381040022-1643381058918-1,periodStartYear,1800
entity:artifact:1:ld1-1643381040022-1643381058919-0,periodStartYear,1900
entity:artifact:1:ld1-1643381040022-1643381058925-0,periodStartYear,1850
entity:artifact:1:ld1-1643381040022-1643381058946-1,periodStartYear,1800
entity:artifact:1:ld1-1643381040022-1643381059066-0,periodStartYear,1770
entity:artifact:1:ld1-1643381040022-1643381060180-0,periodStartYear,1900
entity:artifact:1:ld1-1643381040022-1643381060244-1,periodStartYear,1810
entity:artifact:1:ld1-1643381040022-1643381060334-0,periodStartYear,1890
entity:artifact:1:ld1-1643381040022-1643381062968-0,periodStartYear,1870
entity:artifact:1:ld1-1643381040022-1643381064179-0,periodStartYear,1920
entity:artifact:1:ld1-1643390182193-1643390182369-0,periodStartYear,1640
entity:artifact:1:ld1-1643390182193-1643390182438-0,periodStartYear,1000
entity:artifact:1:ld1-1643390182193-1643390182789-0,periodStartYear,1615
entity:artifact:1:ld1-1643390182193-1643390182964-0,periodStartYear,1615
entity:artifact:1:ld1-1643390182193-1643390183003-0,periodStartYear,1615
entity:artifact:1:ld1-1643390182193-1643390183661-0,periodStartYear,1590
entity:artifact:1:ld1-1643390182193-1643390183697-0,periodStartYear,200
entity:artifact:1:ld1-1643390182193-1643390183796-0,periodStartYear,1620
entity:artifact:1:ld1-1643390182193-1643390183796-1,periodStartYear,1590
entity:artifact:1:ld1-1643390182193-1643390183898-0,periodStartYear,200
entity:artifact:1:ld1-1643390182193-1643390184155-0,periodStartYear,200
entity:artifact:1:ld1-1643390182193-1643390184156-0,periodStartYear,200
entity:artifact:1:ld1-1643390182193-1643390184157-0,periodStartYear,200
entity:artifact:1:ld1-1643390182193-1643390184158-0,periodStartYear,200
entity:artifact:1:ld1-1643390182193-1643390184159-0,periodStartYear,200
entity:artifact:1:ld1-1643390182193-1643390184220-1,periodStartYear,1850
entity:artifact:1:ld1-1643390182193-1643390184307-0,periodStartYear,1615
entity:artifact:1:ld1-1643390182193-1643390184337-0,periodStartYear,1615
entity:artifact:1:ld1-1643390182193-1643390184342-0,periodStartYear,1590
entity:artifact:1:ld1-1643390182193-1643390184345-0,periodStartYear,1800
entity:artifact:1:ld1-1643390182193-1643390184347-0,periodStartYear,1800
entity:artifact:1:ld1-1643390182193-1643390184613-0,periodStartYear,1615
entity:artifact:1:ld1-1643390182193-1643390184722-0,periodStartYear,1615
entity:artifact:1:ld1-1643390182193-1643390184723-0,periodStartYear,1500
entity:artifact:1:ld1-1643390182193-1643390184728-0,periodStartYear,1600
