from,relation,to
entity:artifact:1:ld1-1643390182193-1643390186428-0,title,Seated Buddha with two bodhisattvas
entity:artifact:1:ld1-1643390182193-1643390186429-0,title,"Pedestal with Buddha, bodhisattvas, and monks"
entity:artifact:1:ld1-1643390182193-1643390186431-0,title,Buddha (fragment)
entity:artifact:1:ld1-1643390182193-1643390186434-0,title,Seated Buddha with bodhisattvas (obverse); Seated Buddha and Prabhutaratna (reverse)
entity:artifact:1:ld1-1643390182193-1643390186435-0,title,Standing bodhisattva
entity:artifact:1:ld1-1643390182193-1643390186436-0,title,"Pedestal with lotus petals, lions, and donor, originally supporting a Shijia Buddha (<em>Shakyamuni</em>) figure"
entity:artifact:1:ld1-1643390182193-1643390186438-0,title,Small stupa
entity:artifact:1:ld1-1643390182193-1643390186440-0,title,Plinth with four repeat images of Buddhist triads
entity:artifact:1:ld1-1643390182193-1643390186482-0,title,The hall of scenic beauty æç¾å å
entity:artifact:1:ld1-1643390182193-1643390186483-0,title,The hall of precious paintings å¯¶ç¹ªå å
entity:artifact:1:ld1-1643390182193-1643390186484-0,title,Landscape with farm buildings and figures
entity:artifact:1:ld1-1643390182193-1643390186488-0,title,River landscape: two water buffaloes and a napping herd-boy
entity:artifact:1:ld1-1643390182193-1643390186489-0,title,Three horsemen riding under willows
entity:artifact:1:ld1-1643390182193-1643390186490-0,title,Zhong Kui taming the Five Pestilences
entity:artifact:1:ld1-1643390182193-1643390186493-0,title,Zhongli Quan seeking the Dao é¾é¢è¨ªéå
entity:artifact:1:ld1-1643390182193-1643390186494-0,title,"Landscape: a lake, cliffs, and trees"
entity:artifact:1:ld1-1643390182193-1643390186495-1,title,Quiet mountain village and trees
entity:artifact:1:ld1-1643390182193-1643390186496-0,title,Landscape: a dappled horse and a horseman
entity:artifact:1:ld1-1643390182193-1643390186498-0,title,Fishing by a mountain torrent
entity:artifact:1:ld1-1643390182193-1643390186502-0,title,Bird on a leafless branch
entity:artifact:1:ld1-1643390182193-1643390186507-0,title,Seated Luohan
entity:artifact:1:ld1-1643390182193-1643390186509-0,title,Luohan and attendant
entity:artifact:1:ld1-1643390182193-1643390186510-0,title,The thatched hut at Liangchang
entity:artifact:1:ld1-1643390182193-1643390186513-0,title,Mandarin ducks under smartweed
entity:artifact:1:ld1-1643390182193-1643390186515-0,title,"Mountain mist, spring morning"
entity:artifact:1:ld1-1643390182193-1643390186517-0,title,Misty mountains
entity:artifact:1:ld1-1643390182193-1643390186518-0,title,Celestial Horses
entity:artifact:1:ld1-1643390182193-1643390186519-0,title,Landscape in blue and green
entity:artifact:1:ld1-1643390182193-1643390186521-1,title,Cloudy mountains
entity:artifact:1:ld1-1643390182193-1643390186522-0,title,Landscape with palaces
entity:artifact:1:ld1-1643390182193-1643390186523-0,title,Landscape in blue and green
entity:artifact:1:ld1-1643390182193-1643390186525-0,title,Herdboys and water buffaloes crossing a stream
entity:artifact:1:ld1-1643390182193-1643390186526-0,title,The Wang River estate
entity:artifact:1:ld1-1643390182193-1643390186527-0,title,Portraits and documents of the Gong family
entity:artifact:1:ld1-1643390182193-1643390186528-0,title,The eighteen scholars at a literary gathering
entity:artifact:1:ld1-1643390182193-1643390186529-0,title,"Snow clearing on mountains and rivers, after Wang Wei"
entity:artifact:1:ld1-1643390182193-1643390186534-0,title,Landscape: mountains in mist
entity:artifact:1:ld1-1643390182193-1643390186536-0,title,A hundred birds worship the phoenixes
entity:artifact:1:ld1-1643390182193-1643390186539-0,title,Scenes from the lives of famous men
entity:artifact:1:ld1-1643390182193-1643390186541-0,title,Imperial palaces
entity:artifact:1:ld1-1643390182193-1643390186542-0,title,Travelers on the road to Shu
entity:artifact:1:ld1-1643390182193-1643390186544-0,title,Houses at the waterside
entity:artifact:1:ld1-1643390182193-1643390186545-1,title,Landscape with travelers
