from,relation,to
entity:artifact:1:ld1-1643390182193-1643390185158-0,materialBase,textile
entity:artifact:1:ld1-1643390182193-1643390185171-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390185212-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185213-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185233-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185239-0,materialBase,pigment | lacquer | gold
entity:artifact:1:ld1-1643390182193-1643390185379-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185380-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185381-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185382-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185382-1,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185383-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185394-1,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185400-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390185439-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185475-0,materialBase,bronze
entity:artifact:1:ld1-1643390182193-1643390185476-0,materialBase,bronze
entity:artifact:1:ld1-1643390182193-1643390185477-0,materialBase,bronze
entity:artifact:1:ld1-1643390182193-1643390185478-0,materialBase,bronze
entity:artifact:1:ld1-1643390182193-1643390185489-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185490-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185502-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185503-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185504-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185557-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390185559-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185559-1,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185560-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185859-1,materialBase,bronze
entity:artifact:1:ld1-1643390182193-1643390185861-1,materialBase,bronze
entity:artifact:1:ld1-1643390182193-1643390185863-0,materialBase,bronze
entity:artifact:1:ld1-1643390182193-1643390185954-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185955-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185990-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185990-1,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185991-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390186230-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186421-0,materialBase,stone
entity:artifact:1:ld1-1643390182193-1643390186422-0,materialBase,stone
entity:artifact:1:ld1-1643390182193-1643390186427-0,materialBase,stone
entity:artifact:1:ld1-1643390182193-1643390186428-0,materialBase,stone
entity:artifact:1:ld1-1643390182193-1643390186429-0,materialBase,stone
entity:artifact:1:ld1-1643390182193-1643390186431-0,materialBase,stone
entity:artifact:1:ld1-1643390182193-1643390186434-0,materialBase,stone
entity:artifact:1:ld1-1643390182193-1643390186435-0,materialBase,stone
entity:artifact:1:ld1-1643390182193-1643390186436-0,materialBase,stone
entity:artifact:1:ld1-1643390182193-1643390186438-0,materialBase,stone
entity:artifact:1:ld1-1643390182193-1643390186440-0,materialBase,earthenware
entity:artifact:1:ld1-1643390182193-1643390186482-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186483-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186484-0,materialBase,pigment | silk | ink
entity:artifact:1:ld1-1643390182193-1643390186488-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390186489-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186490-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186493-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186494-0,materialBase,pigment | silk | ink
entity:artifact:1:ld1-1643390182193-1643390186495-1,materialBase,paper | ink
entity:artifact:1:ld1-1643390182193-1643390186496-0,materialBase,paper | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186498-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186502-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390186507-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186509-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186510-0,materialBase,paper | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186513-0,materialBase,pigment | silk | ink
entity:artifact:1:ld1-1643390182193-1643390186515-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186517-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186518-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186519-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186521-1,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186522-0,materialBase,silk | pigment | gold | ink
entity:artifact:1:ld1-1643390182193-1643390186523-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186525-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186526-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186527-0,materialBase,pigment | silk | ink
entity:artifact:1:ld1-1643390182193-1643390186528-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186529-0,materialBase,paper | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186534-0,materialBase,paper | ink
entity:artifact:1:ld1-1643390182193-1643390186536-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186539-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186541-0,materialBase,silk | pigment | gold | ink
entity:artifact:1:ld1-1643390182193-1643390186542-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186544-0,materialBase,paper | ink
entity:artifact:1:ld1-1643390182193-1643390186545-1,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186547-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186548-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186550-0,materialBase,paper | ink
entity:artifact:1:ld1-1643390182193-1643390186551-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186552-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186553-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186554-0,materialBase,silk | pigment | gold | ink
entity:artifact:1:ld1-1643390182193-1643390186555-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186556-0,materialBase,silk | pigment | gold | ink
entity:artifact:1:ld1-1643390182193-1643390186558-1,materialBase,pigment | silk
entity:artifact:1:ld1-1643390182193-1643390186560-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186561-0,materialBase,pigment | silk
entity:artifact:1:ld1-1643390182193-1643390186562-0,materialBase,pigment | silk
entity:artifact:1:ld1-1643390182193-1643390186563-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390186564-1,materialBase,silk | pigment
entity:artifact:1:ld1-1643390182193-1643390186566-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186566-1,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186568-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186569-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186576-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186576-1,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390186578-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390186579-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186579-1,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186581-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186583-0,materialBase,silk | pigment | gold | ink
entity:artifact:1:ld1-1643390182193-1643390186584-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186584-1,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186585-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186586-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186587-0,materialBase,silk | pigment
entity:artifact:1:ld1-1643390182193-1643390186589-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390186590-0,materialBase,silk | pigment | gold | ink
entity:artifact:1:ld1-1643390182193-1643390186592-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186593-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186594-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186597-1,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186598-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390186599-1,materialBase,silk | pigment
entity:artifact:1:ld1-1643390182193-1643390186600-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390186606-1,materialBase,silk | pigment | ink
