from,relation,to
entity:artifact:1:ld1-1643390182193-1643390185861-1,materialSummary,Bronze Diam x D: 13.8 x 1.1 cm (5 7/16 x 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390185863-0,materialSummary,Bronze Diam x D: 8.2 x 1 cm (3 1/4 x 3/8 in)
entity:artifact:1:ld1-1643390182193-1643390185954-0,materialSummary,Ink and tint on silk H x W: 105.4 x 44.4 cm (41 1/2 x 17 1/2 in)
entity:artifact:1:ld1-1643390182193-1643390185955-0,materialSummary,Ink and tint on silk H x W: 105.3 x 44.4 cm (41 7/16 x 17 1/2 in)
entity:artifact:1:ld1-1643390182193-1643390185990-0,materialSummary,Earthenware with copper-green lead-silicate glaze H x W: 8 x 9.2 cm (3 1/8 x 3 5/8 in)
entity:artifact:1:ld1-1643390182193-1643390185990-1,materialSummary,Earthenware with copper-green lead-silicate glaze H x W: 3.2 x 10.6 cm (1 1/4 x 4 3/16 in)
entity:artifact:1:ld1-1643390182193-1643390185991-0,materialSummary,Earthenware with copper-green lead-silicate glaze H x W: 2.3 x 10.8 cm (7/8 x 4 1/4 in)
entity:artifact:1:ld1-1643390182193-1643390186230-0,materialSummary,Ink and color on silk H x W (image): 56.6 x 638.1 cm (22 5/16 x 251 1/4 in)
entity:artifact:1:ld1-1643390182193-1643390186421-0,materialSummary,Stone H x W x D: 26.3 Ã 17.7 Ã 10.2 cm (10 3/8 Ã 6 15/16 Ã 4 in)
entity:artifact:1:ld1-1643390182193-1643390186422-0,materialSummary,Stone H x W x D: 36.8 Ã 21.8 Ã 18.2 cm (14 1/2 Ã 8 9/16 Ã 7 3/16 in)
entity:artifact:1:ld1-1643390182193-1643390186427-0,materialSummary,Stone H x W x D (overall): 14.9 x 15.3 x 9 cm (5 7/8 x 6 x 3 9/16 in)
entity:artifact:1:ld1-1643390182193-1643390186428-0,materialSummary,Stone H x W x D: 29.5 Ã 22 Ã 9 cm (11 5/8 Ã 8 11/16 Ã 3 9/16 in)
entity:artifact:1:ld1-1643390182193-1643390186429-0,materialSummary,Stone H x W x D: 22 Ã 16.7 Ã 16.8 cm (8 11/16 Ã 6 9/16 Ã 6 5/8 in)
entity:artifact:1:ld1-1643390182193-1643390186431-0,materialSummary,Stone H x W x D (overall): 42.9 x 19.6 x 14.1 cm (16 7/8 x 7 11/16 x 5 9/16 in)
entity:artifact:1:ld1-1643390182193-1643390186434-0,materialSummary,Stone H x W x D (overall): 14.3 x 9.6 x 5.8 cm (5 5/8 x 3 3/4 x 2 5/16 in)
entity:artifact:1:ld1-1643390182193-1643390186435-0,materialSummary,Stone H x W x D (overall): 32.7 x 13.8 x 11.3 cm (12 7/8 x 5 7/16 x 4 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390186436-0,materialSummary,Stone H x W x D: 21.8 Ã 24.8 Ã 24.8 cm (8 9/16 Ã 9 3/4 Ã 9 3/4 in)
entity:artifact:1:ld1-1643390182193-1643390186438-0,materialSummary,Stone H x W x D (overall): 28.9 x 13.4 x 14 cm (11 3/8 x 5 1/4 x 5 1/2 in)
entity:artifact:1:ld1-1643390182193-1643390186440-0,materialSummary,Pottery H x W x D: 8.9 x 34.9 x 13.8 cm (3 1/2 x 13 3/4 x 5 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390186482-0,materialSummary,Ink and color on silk H x W (image): 196.2 x 98.2 cm (77 1/4 x 38 11/16 in)
entity:artifact:1:ld1-1643390182193-1643390186483-0,materialSummary,Ink and color on silk H x W (image): 197.5 x 98.4 cm (77 3/4 x 38 3/4 in)
entity:artifact:1:ld1-1643390182193-1643390186484-0,materialSummary,Ink and color on silk H x W (image): 128.3 Ã 56.5 cm (50 1/2 Ã 22 1/4 in)
entity:artifact:1:ld1-1643390182193-1643390186488-0,materialSummary,Ink on silk H x W (image): 71.7 x 37.5 cm (28 1/4 x 14 3/4 in)
entity:artifact:1:ld1-1643390182193-1643390186489-0,materialSummary,Ink and color on silk H x W (image): 186.2 x 95.1 cm (73 5/16 x 37 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390186490-0,materialSummary,Ink and color on silk H x W: 101.7 x 59.6 cm (40 1/16 x 23 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390186493-0,materialSummary,Ink and color on silk H x W (image): 147 x 74.8 cm (57 7/8 x 29 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390186494-0,materialSummary,Ink and color on silk panel H x W (image): 120.1 Ã 49.8 cm (47 5/16 Ã 19 5/8 in)
entity:artifact:1:ld1-1643390182193-1643390186495-1,materialSummary,Ink on paper H x W (image): 68.7 Ã 33.4 cm (27 1/16 Ã 13 1/8 in)
entity:artifact:1:ld1-1643390182193-1643390186496-0,materialSummary,Ink and color on paper H x W (image): 67.4 Ã 29.8 cm (26 9/16 Ã 11 3/4 in)
entity:artifact:1:ld1-1643390182193-1643390186498-0,materialSummary,Ink and color on silk H x W (image): 25.5 x 24.2 cm (10 1/16 x 9 1/2 in)
entity:artifact:1:ld1-1643390182193-1643390186502-0,materialSummary,Ink and watercolor on silk H x W: 17.8 x 22.4 cm (7 x 8 13/16 in)
entity:artifact:1:ld1-1643390182193-1643390186507-0,materialSummary,Ink and color on silk H x W (image): 41.6 x 29.9 cm (16 3/8 x 11 3/4 in)
entity:artifact:1:ld1-1643390182193-1643390186509-0,materialSummary,Ink and color on silk H x W (image): 117.5 x 58.4 cm (46 1/4 x 23 in)
entity:artifact:1:ld1-1643390182193-1643390186510-0,materialSummary,Ink and color on paper H x W (image): 66.5 Ã 31.8 cm (26 3/16 Ã 12 1/2 in)
entity:artifact:1:ld1-1643390182193-1643390186513-0,materialSummary,Ink and color on silk H x W (image): 181.8 Ã 76.7 cm (71 9/16 Ã 30 3/16 in)
entity:artifact:1:ld1-1643390182193-1643390186515-0,materialSummary,Ink and color on silk H x W (image): 13.8 x 147.6 cm (5 7/16 x 58 1/8 in)
entity:artifact:1:ld1-1643390182193-1643390186517-0,materialSummary,Ink and color on silk H x W (image): 25.5 x 189.5 cm (10 1/16 x 74 5/8 in)
entity:artifact:1:ld1-1643390182193-1643390186518-0,materialSummary,Ink and color on silk H x W (image): 30 x 469 cm (11 13/16 x 184 5/8 in)
entity:artifact:1:ld1-1643390182193-1643390186519-0,materialSummary,Ink and color on silk H x W (image): 29.6 x 329 cm (11 5/8 x 129 1/2 in)
entity:artifact:1:ld1-1643390182193-1643390186521-1,materialSummary,Ink and color on silk H x W (image): 21.1 x 292.3 cm (8 5/16 x 115 1/16 in)
entity:artifact:1:ld1-1643390182193-1643390186522-0,materialSummary,"Ink, color, and gold on silk H x W (image): 35.8 x 323.3 cm (14 1/8 x 127 5/16 in)"
entity:artifact:1:ld1-1643390182193-1643390186523-0,materialSummary,Ink and color on silk H x W (image): 34.5 x 265.1 cm (13 9/16 x 104 3/8 in)
entity:artifact:1:ld1-1643390182193-1643390186525-0,materialSummary,Ink and color on silk H x W (image): 26.6 x 322.3 cm (10 1/2 x 126 7/8 in)
entity:artifact:1:ld1-1643390182193-1643390186526-0,materialSummary,Ink and color on silk H x W (image): 30 x 1075.6 cm (11 13/16 x 423 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390186527-0,materialSummary,Ink and color on silk H x W (overall): 32.3 x 1062.8 cm (12 11/16 x 418 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390186528-0,materialSummary,Ink and color on silk H x W (image): 29.9 x 406.3 cm (11 3/4 x 159 15/16 in)
entity:artifact:1:ld1-1643390182193-1643390186529-0,materialSummary,Ink and color on paper H x W (image): 41 x 278.3 cm (16 1/8 x 109 9/16 in)
entity:artifact:1:ld1-1643390182193-1643390186534-0,materialSummary,Ink on paper H x W (image): 24.8 x 92.6 cm (9 3/4 x 36 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390186536-0,materialSummary,Ink and color on silk H x W (image): 34.3 x 236.9 cm (13 1/2 x 93 1/4 in)
entity:artifact:1:ld1-1643390182193-1643390186539-0,materialSummary,Ink and color on silk H x W (image): 26.1 x 446.5 cm (10 1/4 x 175 13/16 in)
entity:artifact:1:ld1-1643390182193-1643390186541-0,materialSummary,"Ink, color, and gold on silk H x W (image): 30.7 x 255.5 cm (12 1/16 x 100 9/16 in)"
entity:artifact:1:ld1-1643390182193-1643390186542-0,materialSummary,Ink and color on silk H x W (image): 53.1 x 170 cm (20 7/8 x 66 15/16 in)
entity:artifact:1:ld1-1643390182193-1643390186544-0,materialSummary,Ink on paper H x W (image): 29.7 x 121.1 cm (11 11/16 x 47 11/16 in)
entity:artifact:1:ld1-1643390182193-1643390186545-1,materialSummary,Ink and color on silk H x W (image): 48.3 x 290.2 cm (19 x 114 1/4 in)
entity:artifact:1:ld1-1643390182193-1643390186547-0,materialSummary,Ink and color on silk H x W (image): 33.8 x 272.6 cm (13 5/16 x 107 5/16 in)
entity:artifact:1:ld1-1643390182193-1643390186548-0,materialSummary,Ink and color on silk H x W (image): 34.9 x 231.8 cm (13 3/4 x 91 1/4 in)
entity:artifact:1:ld1-1643390182193-1643390186550-0,materialSummary,Ink on paper H x W (image): 33.9 x 1121.7 cm (13 3/8 x 441 5/8 in)
entity:artifact:1:ld1-1643390182193-1643390186551-0,materialSummary,Ink and color on silk H x W (image): 25 x 116.6 cm (9 13/16 x 45 7/8 in)
entity:artifact:1:ld1-1643390182193-1643390186552-0,materialSummary,Ink and color on silk H x W (image): 26.9 x 125.5 cm (10 9/16 x 49 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390186553-0,materialSummary,Ink and color on silk H x W (image): 36.2 x 293.3 cm (14 1/4 x 115 1/2 in)
entity:artifact:1:ld1-1643390182193-1643390186554-0,materialSummary,"Ink, color, and gold on silk H x W (image): 31.5 x 623 cm (12 3/8 x 245 1/4 in)"
entity:artifact:1:ld1-1643390182193-1643390186555-0,materialSummary,Ink and color on silk H x W: 18.6 x 173.9 cm (7 5/16 x 68 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390186556-0,materialSummary,"Ink, color, and gold on silk H x W (image): 42 x 252 cm (16 9/16 x 99 3/16 in)"
entity:artifact:1:ld1-1643390182193-1643390186558-1,materialSummary,Color on silk H x W (overall): 39.5 x 64.8 cm (15 9/16 x 25 1/2 in)
entity:artifact:1:ld1-1643390182193-1643390186560-0,materialSummary,Ink and color on silk H x W (image): 23.4 x 19 cm (9 3/16 x 7 1/2 in)
entity:artifact:1:ld1-1643390182193-1643390186561-0,materialSummary,Color on silk H x W (overall): 39.5 x 64.8 cm (15 9/16 x 25 1/2 in)
entity:artifact:1:ld1-1643390182193-1643390186562-0,materialSummary,Color on silk H x W (overall): 39.5 x 64.8 cm (15 9/16 x 25 1/2 in)
entity:artifact:1:ld1-1643390182193-1643390186563-0,materialSummary,Ink and tint on silk H x W (image): 27.2 Ã 27.9 cm (10 11/16 Ã 11 in)
entity:artifact:1:ld1-1643390182193-1643390186564-1,materialSummary,Color on silk H x W (image): 23.4 x 21.3 cm (9 3/16 x 8 3/8 in)
entity:artifact:1:ld1-1643390182193-1643390186566-0,materialSummary,Ink and color on silk H x W (image): 29.5 x 29.1 cm (11 5/8 x 11 7/16 in)
entity:artifact:1:ld1-1643390182193-1643390186566-1,materialSummary,Ink and color on silk H x W (image): 24.2 x 23.8 cm (9 1/2 x 9 3/8 in)
