from,relation,to
entity:artifact:1:ld1-1643390182193-1643390185503-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185504-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185557-0,period,1100s
entity:artifact:1:ld1-1643390182193-1643390185559-0,period,1200s
entity:artifact:1:ld1-1643390182193-1643390185559-1,period,1500s; 1620s
entity:artifact:1:ld1-1643390182193-1643390185560-0,period,1500s; 1620s
entity:artifact:1:ld1-1643390182193-1643390185859-1,period,800s; 700s
entity:artifact:1:ld1-1643390182193-1643390185861-1,period,200s
entity:artifact:1:ld1-1643390182193-1643390185863-0,period,BCE 0s; 200s
entity:artifact:1:ld1-1643390182193-1643390185954-0,period,1800s; 1700s; 1615-1868
entity:artifact:1:ld1-1643390182193-1643390185955-0,period,1800s; 1700s; 1615-1868
entity:artifact:1:ld1-1643390182193-1643390185990-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185990-1,period,200s
entity:artifact:1:ld1-1643390182193-1643390185991-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390186230-0,period,1600s; 1790s
entity:artifact:1:ld1-1643390182193-1643390186421-0,period,500s
entity:artifact:1:ld1-1643390182193-1643390186422-0,period,500s
entity:artifact:1:ld1-1643390182193-1643390186427-0,period,500s
entity:artifact:1:ld1-1643390182193-1643390186428-0,period,500s
entity:artifact:1:ld1-1643390182193-1643390186429-0,period,600s; 500s
entity:artifact:1:ld1-1643390182193-1643390186431-0,period,500s; 300s
entity:artifact:1:ld1-1643390182193-1643390186434-0,period,500s
entity:artifact:1:ld1-1643390182193-1643390186435-0,period,500s
entity:artifact:1:ld1-1643390182193-1643390186436-0,period,500s
entity:artifact:1:ld1-1643390182193-1643390186438-0,period,500s
entity:artifact:1:ld1-1643390182193-1643390186440-0,period,500s
entity:artifact:1:ld1-1643390182193-1643390186482-0,period,1700s; 1600s
entity:artifact:1:ld1-1643390182193-1643390186483-0,period,1700s; 1600s
entity:artifact:1:ld1-1643390182193-1643390186484-0,period,1640s; 1300s
entity:artifact:1:ld1-1643390182193-1643390186488-0,period,1640s; 1300s
entity:artifact:1:ld1-1643390182193-1643390186489-0,period,1500s; 1400s
entity:artifact:1:ld1-1643390182193-1643390186490-0,period,1700s; 1500s
entity:artifact:1:ld1-1643390182193-1643390186493-0,period,1200s; 1300s
entity:artifact:1:ld1-1643390182193-1643390186494-0,period,1700s; 1600s
entity:artifact:1:ld1-1643390182193-1643390186495-1,period,1700s; 1600s
