canonical_id,museum_id,object_id,field_name,raw_value,source_file
entity:artifact:1:ld1-1643390182193-1643390183003-0,1,ld1-1643390182193-1643390183003-0,title,"Serving bowl in style of Chinese celadon, probably Shodai ware",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390183661-0,1,ld1-1643390182193-1643390183661-0,title,"The Chinese Emperor Minghuang and his concubine Yang Guifei, with attendants on a terrace",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390183697-0,1,ld1-1643390182193-1643390183697-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390183796-0,1,ld1-1643390182193-1643390183796-0,title,Scenes from the life of the Ming Huang Emperor and Yang Guifei (one of a pair with F1901.21),smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390183796-1,1,ld1-1643390182193-1643390183796-1,title,Scenes from the life of the Ming Huang Emperor and Yang Guifei (one of a pair with F1901.20),smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390183898-0,1,ld1-1643390182193-1643390183898-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184155-0,1,ld1-1643390182193-1643390184155-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184156-0,1,ld1-1643390182193-1643390184156-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184157-0,1,ld1-1643390182193-1643390184157-0,title,"Tomb vessel with lid (""hill jar"")",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184158-0,1,ld1-1643390182193-1643390184158-0,title,Tomb jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184159-0,1,ld1-1643390182193-1643390184159-0,title,Tomb dish or lid,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184220-1,1,ld1-1643390182193-1643390184220-1,title,"Satin, embroidered. in the form of a large hanging",smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184307-0,1,ld1-1643390182193-1643390184307-0,title,The Chinese emperor Ming Huang and Yang Kuei-fei,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184337-0,1,ld1-1643390182193-1643390184337-0,title,A Chinese man standing in a high wind,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184342-0,1,ld1-1643390182193-1643390184342-0,title,Lady under a gnarled pine tree,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184345-0,1,ld1-1643390182193-1643390184345-0,title,Palace ladies by a lotus pond,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184347-0,1,ld1-1643390182193-1643390184347-0,title,The Eight Medicine Buddhas,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184613-0,1,ld1-1643390182193-1643390184613-0,title,Box in the form of antique Chinese ink,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184722-0,1,ld1-1643390182193-1643390184722-0,title,Gama Sennin (Chinese Hou Xiansheng) and his three-legged toad,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184723-0,1,ld1-1643390182193-1643390184723-0,title,Peonies,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184728-0,1,ld1-1643390182193-1643390184728-0,title,Two male figures with a toad,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184737-0,1,ld1-1643390182193-1643390184737-0,title,Hotei and Chinese Child Acrobats,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184810-0,1,ld1-1643390182193-1643390184810-0,title,Tomb tripod vessel,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184821-0,1,ld1-1643390182193-1643390184821-0,title,Tomb lamp in the form of a seated figure holding a child,smithsonian_institution.csv
entity:artifact:1:ld1-1643390182193-1643390184828-0,1,ld1-1643390182193-1643390184828-0,title,"The celestial worthy Taiyi, who delivers from suffering å¤ªä¹æè¦å¤©å°å",smithsonian_institution.csv
