artifact_id,museum_id,object_id,title
entity:artifact:1:ld1-1643390182193-1643390184158-0,1,ld1-1643390182193-1643390184158-0,Tomb jar
entity:artifact:1:ld1-1643390182193-1643390184159-0,1,ld1-1643390182193-1643390184159-0,Tomb dish or lid
entity:artifact:1:ld1-1643390182193-1643390184220-1,1,ld1-1643390182193-1643390184220-1,"Satin, embroidered. in the form of a large hanging"
entity:artifact:1:ld1-1643390182193-1643390184307-0,1,ld1-1643390182193-1643390184307-0,The Chinese emperor Ming Huang and Yang Kuei-fei
entity:artifact:1:ld1-1643390182193-1643390184337-0,1,ld1-1643390182193-1643390184337-0,A Chinese man standing in a high wind
entity:artifact:1:ld1-1643390182193-1643390184342-0,1,ld1-1643390182193-1643390184342-0,Lady under a gnarled pine tree
entity:artifact:1:ld1-1643390182193-1643390184345-0,1,ld1-1643390182193-1643390184345-0,Palace ladies by a lotus pond
entity:artifact:1:ld1-1643390182193-1643390184347-0,1,ld1-1643390182193-1643390184347-0,The Eight Medicine Buddhas
entity:artifact:1:ld1-1643390182193-1643390184613-0,1,ld1-1643390182193-1643390184613-0,Box in the form of antique Chinese ink
entity:artifact:1:ld1-1643390182193-1643390184722-0,1,ld1-1643390182193-1643390184722-0,Gama Sennin (Chinese Hou Xiansheng) and his three-legged toad
entity:artifact:1:ld1-1643390182193-1643390184723-0,1,ld1-1643390182193-1643390184723-0,Peonies
entity:artifact:1:ld1-1643390182193-1643390184728-0,1,ld1-1643390182193-1643390184728-0,Two male figures with a toad
entity:artifact:1:ld1-1643390182193-1643390184737-0,1,ld1-1643390182193-1643390184737-0,Hotei and Chinese Child Acrobats
entity:artifact:1:ld1-1643390182193-1643390184810-0,1,ld1-1643390182193-1643390184810-0,Tomb tripod vessel
entity:artifact:1:ld1-1643390182193-1643390184821-0,1,ld1-1643390182193-1643390184821-0,Tomb lamp in the form of a seated figure holding a child
entity:artifact:1:ld1-1643390182193-1643390184828-0,1,ld1-1643390182193-1643390184828-0,"The celestial worthy Taiyi, who delivers from suffering å¤ªä¹æè¦å¤©å°å"
entity:artifact:1:ld1-1643390182193-1643390184854-0,1,ld1-1643390182193-1643390184854-0,Chinese man and woman in a boat
entity:artifact:1:ld1-1643390182193-1643390184879-0,1,ld1-1643390182193-1643390184879-0,Landscape with gibbons and cranes
entity:artifact:1:ld1-1643390182193-1643390185005-0,1,ld1-1643390182193-1643390185005-0,Tomb jar
entity:artifact:1:ld1-1643390182193-1643390185006-0,1,ld1-1643390182193-1643390185006-0,"Tomb vessel with lid (""hill jar"")"
entity:artifact:1:ld1-1643390182193-1643390185007-0,1,ld1-1643390182193-1643390185007-0,Tomb jar
entity:artifact:1:ld1-1643390182193-1643390185009-0,1,ld1-1643390182193-1643390185009-0,Tomb jar
entity:artifact:1:ld1-1643390182193-1643390185010-0,1,ld1-1643390182193-1643390185010-0,Tomb jar
entity:artifact:1:ld1-1643390182193-1643390185011-0,1,ld1-1643390182193-1643390185011-0,Tomb jar
entity:artifact:1:ld1-1643390182193-1643390185115-1,1,ld1-1643390182193-1643390185115-1,Tsong-kha-pa and scenes from his life
entity:artifact:1:ld1-1643390182193-1643390185147-1,1,ld1-1643390182193-1643390185147-1,River landscape with a seated figure in foreground
entity:artifact:1:ld1-1643390182193-1643390185158-0,1,ld1-1643390182193-1643390185158-0,Sakyamuni enthroned; and biographical scenes
entity:artifact:1:ld1-1643390182193-1643390185171-0,1,ld1-1643390182193-1643390185171-0,Buddha enthroned on a mat of kusa grass
entity:artifact:1:ld1-1643390182193-1643390185212-0,1,ld1-1643390182193-1643390185212-0,Two Chinese sages near an overhanging rock
entity:artifact:1:ld1-1643390182193-1643390185213-0,1,ld1-1643390182193-1643390185213-0,Two Chinese sages standing under a tree
entity:artifact:1:ld1-1643390182193-1643390185233-0,1,ld1-1643390182193-1643390185233-0,Tomb jar
entity:artifact:1:ld1-1643390182193-1643390185239-0,1,ld1-1643390182193-1643390185239-0,Twelve-panel screen depicting âSpring Morning in the Han Palaceâ with inscription; encomium on the reverse
entity:artifact:1:ld1-1643390182193-1643390185379-0,1,ld1-1643390182193-1643390185379-0,"Tomb vessel with lid (""hill jar"")"
entity:artifact:1:ld1-1643390182193-1643390185380-0,1,ld1-1643390182193-1643390185380-0,Jar
entity:artifact:1:ld1-1643390182193-1643390185381-0,1,ld1-1643390182193-1643390185381-0,Tomb jar
entity:artifact:1:ld1-1643390182193-1643390185382-0,1,ld1-1643390182193-1643390185382-0,Tomb figure of a chicken
entity:artifact:1:ld1-1643390182193-1643390185382-1,1,ld1-1643390182193-1643390185382-1,"Tomb vessel with lid (""hill jar"")"
entity:artifact:1:ld1-1643390182193-1643390185383-0,1,ld1-1643390182193-1643390185383-0,Tomb jar
entity:artifact:1:ld1-1643390182193-1643390185394-1,1,ld1-1643390182193-1643390185394-1,Portrait of Bodhidharma éæ©åå
entity:artifact:1:ld1-1643390182193-1643390185400-0,1,ld1-1643390182193-1643390185400-0,Sakyamuni on an elephant
entity:artifact:1:ld1-1643390182193-1643390185439-0,1,ld1-1643390182193-1643390185439-0,Upper grindstone from a tomb model of a mill
