type_id,type_name
entity:artifacttype:costume-accessories-costume-pleated-fan,Costume accessories; Costume; Pleated fan
entity:artifacttype:costume-accessories-costume-robe-for-a-statue,Costume accessories; Costume; Robe for a statue
entity:artifacttype:costume-accessories-costume-robes-main-garments,Costume accessories; Costume; Robes (main garments)
entity:artifacttype:costume-accessories-costume-skirts-garments,Costume accessories; Costume; Skirts (garments)
entity:artifacttype:costume-accessories-costume-stockings,Costume accessories; Costume; Stockings
entity:artifacttype:costume-accessories-costume-trousers,Costume accessories; Costume; Trousers
entity:artifacttype:costume-accessories-costume-womans-robe,Costume accessories; Costume; Woman's robe
entity:artifacttype:costume-accessories-costume-womans-short-robe,Costume accessories; Costume; Woman's short robe
entity:artifacttype:costume-accessories-costume-womans-surcoat,Costume accessories; Costume; Woman's surcoat
entity:artifacttype:costume-accessories-fire-screens-furniture-costume-costume-accessories-carried-handscreens,Costume accessories; Fire screens (furniture); Costume; Costume accessories carried; Handscreens
entity:artifacttype:costume-accessories-handscreen-and-case-costume,Costume accessories; Handscreen and case; Costume
entity:artifacttype:costume-accessories-mans-robe-costume,Costume accessories; Man's robe; Costume
entity:artifacttype:costume-accessories-uncut-textiles,Costume accessories (uncut); Textiles
entity:artifacttype:costume-textiles,Costume; Textiles
entity:artifacttype:costumes,Costumes
entity:artifacttype:curtain-panel-textiles,Curtain panel; Textiles
entity:artifacttype:cushion-cover-textiles,Cushion cover; Textiles
entity:artifacttype:daoist-priests-robe-embroidery-visual-works,Daoist priest's robe; Embroidery (visual works)
entity:artifacttype:decorative-arts,Decorative arts
entity:artifacttype:desks-furniture-decorative-arts,Desks; Furniture; Decorative arts
entity:artifacttype:devotional-sculpture-decorative-arts,devotional sculpture; Decorative arts
entity:artifacttype:devotional-sculpture-sculpture-decorative-arts,devotional sculpture; Sculpture; Decorative arts
entity:artifacttype:dinner-services,dinner services
entity:artifacttype:dish-shell,"Dish, Shell"
entity:artifacttype:dishes-vessels,Dishes (vessels)
entity:artifacttype:drawings,Drawings
entity:artifacttype:drawings-watercolors,Drawings / Watercolors
entity:artifacttype:dress-3-piece,"Dress, 3-Piece"
entity:artifacttype:dress-fragment-textiles,Dress fragment; Textiles
entity:artifacttype:dress-panels-textiles,Dress panels; Textiles
entity:artifacttype:dresses-garments-jackets,Dresses (garments); jackets
entity:artifacttype:edge-panel-textiles,Edge panel; Textiles
entity:artifacttype:embroidery-visual-works,Embroidery (visual works)
entity:artifacttype:embroidery-visual-works-borders-ornament-areas,Embroidery (visual works); Borders (ornament areas)
entity:artifacttype:embroidery-visual-works-panel-fragment,Embroidery (visual works); Panel fragment
entity:artifacttype:embroidery-visual-works-sleeve-band,Embroidery (visual works); Sleeve band
entity:artifacttype:embroidery-visual-works-sleeve-bands,Embroidery (visual works); Sleeve bands
entity:artifacttype:embroidery-visual-works-textiles,Embroidery (visual works); Textiles
entity:artifacttype:enamels-visual-works-decorative-arts-plate,Enamels (visual works); Decorative arts; Plate
entity:artifacttype:enamels-visual-works-decorative-arts-vases,Enamels (visual works); Decorative arts; Vases
entity:artifacttype:envelopes-theater-programs,Envelopes; Theater programs
entity:artifacttype:eyeglass-cases-embroidery-visual-works,Eyeglass cases; Embroidery (visual works)
entity:artifacttype:felt-textile-ceremonial-objects-rugs-mosen-textiles,Felt (textile); Ceremonial objects; Rugs; Mosen; Textiles
entity:artifacttype:figures-representations-drawings,Figures (representations); Drawings
entity:artifacttype:figures-representations-prints,Figures (representations); Prints
entity:artifacttype:fill-papers-wall-coverings,Fill papers; Wall coverings
entity:artifacttype:fragment-of-a-rank-badge-textiles,Fragment of a rank badge; Textiles
entity:artifacttype:fragment-of-rank-badge-textiles,Fragment of rank badge; Textiles
entity:artifacttype:fragments,Fragments
entity:artifacttype:fragments-of-a-rank-badge-textiles,Fragments of a rank badge; Textiles
entity:artifacttype:furnishings,Furnishings
entity:artifacttype:furniture,Furniture
entity:artifacttype:furniture-decorative-arts-armchairs,Furniture; Decorative arts; Armchairs
entity:artifacttype:furniture-drawings,Furniture; Drawings
entity:artifacttype:furniture-furnishings,Furniture; Furnishings
entity:artifacttype:furniture-mirrors-furnishings,Furniture; Mirrors; Furnishings
entity:artifacttype:furniture-prints,Furniture; Prints
entity:artifacttype:glass,Glass
entity:artifacttype:glassware-bowls-decorative-arts,Glassware; Bowls; Decorative arts
entity:artifacttype:glassware-bowls-vessels-decorative-arts,Glassware; Bowls (vessels); Decorative arts
entity:artifacttype:glassware-decorative-arts-snuff-bottles,Glassware; Decorative arts; Snuff bottles
entity:artifacttype:graphic-arts,Graphic arts
entity:artifacttype:hangings-coverings-embroidery-visual-works,Hangings (coverings); Embroidery (visual works)
entity:artifacttype:hangings-coverings-textiles,Hangings (coverings); Textiles
